type,name,pop,decadal_growth_pct,pop_rural,pop_urban,area_km2,density_km2,sex_ratio
state,Uttar Pradesh,199281477,20.1,155111022,44470455,240928,828,908
state,Maharashtra,112372972,16,61545441,50827531,307713,365,946
state,Bihar,103804637,25.1,92075028,11729609,94163,1102,916
state,West Bengal,91347736,13.9,62213676,29134060,88752,1029,947
state,Madhya Pradesh,72597565,20.3,52537899,20059666,308245,236,931
state,Tamil Nadu,72138958,15.6,37189229,34949729,130058,555,995
state,Rajasthan,68621012,21.4,51540236,17080776,342239,201,926
state,Karnataka,61130704,15.7,37552529,23578175,191791,319,968
state,Gujarat,60383628,19.2,34670817,25712811,196024,308,918
state,Andhra Pradesh,49386799,11.1,34776389,14610410,162968,303,993
state,Odisha,41947358,14,34951234,6996124,155707,269,978
state,Telangana,35286757,17.87,21585313,13608665,114840,307,988
state,Kerala,33387677,4.9,17445506,15932171,38863,859,1084
state,Jharkhand,32966238,22.3,25036946,7929292,79714,414,947
state,Assam,31169272,16.9,26780526,4388756,78438,397,954
state,Punjab,27704236,13.7,17316800,10387436,50362,550,893
state,Chhattisgarh,25540196,22.6,19603658,5936538,135191,189,991
state,Haryana,25353081,19.9,16531493,8821588,44212,573,877
state,Jammu and Kashmir,12548926,23.7,9134820,3414106,222236,124,883
state,Uttarakhand,10116752,19.2,7025583,3091169,53483,189,963
state,Himachal Pradesh,6864602,12.8,6167805,688704,55673,123,974
state,Tripura,3671032,14.7,2710051,960981,10486,350,961
state,Meghalaya,2964007,27.8,2368971,595036,22429,132,986
state,Manipur,2721756,18.7,1899624,822132,22327,122,987
state,Nagaland,1980602,-0.5,1406861,573741,16579,119,931
state,Goa,1457723,8.2,551414,906309,3702,394,968
state,Arunachal Pradesh,1382611,25.9,1069165,313446,83743,17,920
state,Mizoram,1091014,22.8,529037,561997,21081,52,975
state,Sikkim,607688,12.4,455962,151726,7096,86,889
territory,Delhi,16753235,21,419319,16333916,1484,11297,866
territory,Puducherry,1244464,27.7,394341,850123,479,2598,1038
territory,Chandigarh,1054686,17.1,29004,1025682,114,952,818
territory,Andaman and Nicobar Islands,379944,6.7,244411,135533,8249,46,878
territory,Dadra and Nagar Haveli,342853,55.5,183024,159829,491,698,775
territory,Daman and Diu,242911,53.5,60331,182580,112,2169,618
territory,Lakshadweep,64429,6.2,14121,50308,32,2013,946
