state,Clinton,Trump,Other
Arizona,1161167,1252401,159597
Colorado,1338870,1202484,238866
Florida,4504975,4617886,297178
Iowa,653669,800983,111379
Maine,357735,335593,54599
Michigan,2268839,2279543,250902
Minnesota,1367716,1322951,254146
Nevada,539260,512058,74067
New Hampshire,348526,345790,49842
North Carolina,2189316,2362631,189617
Ohio,2394164,2841005,261318
Pennsylvania,2926441,2970733,218228
Wisconsin,1382536,1405284,188330
Alabama,729547,1318255,75570
Alaska,116454,163387,38767
Arkansas,380494,684872,65269
California,8753788,4483810,943997
Connecticut,897572,673215,74133
Delaware,235603,185127,20860
District of Columbia,282830,12723,15715
Georgia,1877963,2089104,125306
Hawaii,266891,128847,33199
Idaho,189765,409055,91435
Illinois,3090729,2146015,299680
Indiana,1033126,1557286,144546
Kansas,427005,671018,86379
Kentucky,628854,1202971,92324
Louisiana,780154,1178638,70240
Maryland,1677928,943169,160349
Massachusetts,1995196,1090893,238957
Mississippi,485131,700714,23512
Missouri,1071068,1594511,143026
Montana,177709,279240,40198
Nebraska,284494,495961,63772
New Jersey,2148278,1601933,123835
New Mexico,385234,319666,93418
New York,4556124,2819534,345795
North Dakota,93758,216794,33808
Oklahoma,420375,949136,83481
Oregon,1002106,782403,216827
Rhode Island,252525,180543,31076
South Carolina,855373,1155389,92265
South Dakota,117458,227721,24914
Tennessee,870695,1522925,114407
Texas,3877868,4685047,406311
Utah,310676,515231,305523
Vermont,178573,95369,41125
Virginia,1981473,1769443,231836
Washington,1742718,1221747,401179
West Virginia,188794,489371,34886
Wyoming,55973,174419,25457
