citizen,sex,age,unit,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016
EXT_EU28,T,TOTAL,PER,AT,0,0,0,0,0,0,390,760,200
EXT_EU28,T,TOTAL,PER,BE,NA,45,NA,25,0,100,35,275,450
EXT_EU28,T,TOTAL,PER,BG,NA,NA,NA,NA,0,0,0,0,0
EXT_EU28,T,TOTAL,PER,CH,NA,NA,0,0,0,0,0,610,620
EXT_EU28,T,TOTAL,PER,CY,0,NA,0,NA,NA,0,0,0,0
EXT_EU28,T,TOTAL,PER,CZ,NA,0,40,0,25,0,0,0,0
EXT_EU28,T,TOTAL,PER,DE,0,2070,525,145,305,280,280,510,1240
EXT_EU28,T,TOTAL,PER,DK,500,175,355,475,480,575,370,450,310
EXT_EU28,T,TOTAL,PER,EE,0,0,0,0,0,0,0,0,10
EXT_EU28,T,TOTAL,PER,EL,NA,NA,NA,0,0,0,0,0,0
EXT_EU28,T,TOTAL,PER,ES,NA,NA,NA,NA,80,0,125,0,375
EXT_EU28,T,TOTAL,PER,EU28,4825,7120,4925,4050,4945,4905,6550,8155,14205
EXT_EU28,T,TOTAL,PER,FI,750,725,545,585,730,675,1090,1005,945
EXT_EU28,T,TOTAL,PER,FR,195,520,360,130,100,90,450,620,1420
EXT_EU28,T,TOTAL,PER,HR,NA,NA,NA,NA,NA,0,0,0,0
EXT_EU28,T,TOTAL,PER,HU,0,0,NA,0,0,0,10,5,5
EXT_EU28,T,TOTAL,PER,IE,100,190,20,45,50,85,95,175,355
EXT_EU28,T,TOTAL,PER,IS,30,0,5,0,10,0,10,15,55
EXT_EU28,T,TOTAL,PER,IT,70,160,55,0,0,0,0,95,1045
EXT_EU28,T,TOTAL,PER,LI,NA,NA,NA,0,0,0,5,20,0
EXT_EU28,T,TOTAL,PER,LT,NA,NA,NA,0,5,0,0,5,25
EXT_EU28,T,TOTAL,PER,LU,NA,30,5,0,0,0,30,45,50
EXT_EU28,T,TOTAL,PER,LV,0,0,0,0,0,0,0,0,5
EXT_EU28,T,TOTAL,PER,MT,0,0,0,0,0,0,0,0,0
EXT_EU28,T,TOTAL,PER,NL,695,370,430,540,430,310,790,450,695
EXT_EU28,T,TOTAL,PER,NO,NA,1390,1095,1270,1230,955,1285,2375,3290
EXT_EU28,T,TOTAL,PER,PL,NA,NA,NA,NA,0,0,0,0,0
EXT_EU28,T,TOTAL,PER,PT,10,0,35,30,15,0,15,40,0
EXT_EU28,T,TOTAL,PER,RO,0,0,40,0,0,0,40,0,0
EXT_EU28,T,TOTAL,PER,SE,1865,1890,1790,1620,1680,1820,2045,1850,1890
EXT_EU28,T,TOTAL,PER,SI,0,0,0,0,0,0,0,0,0
EXT_EU28,T,TOTAL,PER,SK,0,0,0,0,0,0,0,0,0
EXT_EU28,T,TOTAL,PER,UK,640,945,720,455,1040,965,785,1865,5180
